Sensor,Value,stamp
,inf,"2024-03-05 11:51:14.000000"
MQ5,inf,"2024-03-05 11:51:14.000000"
MQ6,inf,"2024-03-05 11:51:15.000000"
MQ7,inf,"2024-03-05 11:51:15.000000"
MQ8,inf,"2024-03-05 11:51:16.000000"
TGS2600,0.991829991,"2024-03-05 11:51:17.000000"
TGS2602,0.982858717,"2024-03-05 11:51:17.000000"
TGS2612,0.949690461,"2024-03-05 11:51:17.000000"
MQ9,inf,"2024-03-05 11:51:18.000000"
MQ10,inf,"2024-03-05 11:51:18.000000"
MQ11,nan,"2024-03-05 11:51:19.000000"
TGS2620,0.983598888,"2024-03-05 11:51:20.000000"
TGS2603,0.973390818,"2024-03-05 11:51:20.000000"
TGS2610,0.947984040,"2024-03-05 11:51:20.000000"
TGS2611,0.967083812,"2024-03-05 11:51:21.000000"
MQ12,inf,"2024-03-05 11:51:21.000000"
,inf,"2024-03-05 11:51:23.000000"
MQ5,inf,"2024-03-05 11:51:24.000000"
MQ6,inf,"2024-03-05 11:51:24.000000"
MQ7,inf,"2024-03-05 11:51:25.000000"
MQ8,inf,"2024-03-05 11:51:25.000000"
TGS2600,0.980396807,"2024-03-05 11:51:26.000000"
TGS2602,0.982858717,"2024-03-05 11:51:26.000000"
TGS2612,0.949690461,"2024-03-05 11:51:27.000000"
MQ9,inf,"2024-03-05 11:51:27.000000"
MQ10,inf,"2024-03-05 11:51:28.000000"
MQ11,inf,"2024-03-05 11:51:28.000000"
TGS2620,0.987832427,"2024-03-05 11:51:29.000000"
TGS2603,0.973390818,"2024-03-05 11:51:29.000000"
TGS2610,0.960295498,"2024-03-05 11:51:30.000000"
TGS2611,0.967083812,"2024-03-05 11:51:30.000000"
MQ12,inf,"2024-03-05 11:51:31.000000"
,inf,"2024-03-05 11:51:33.000000"
MQ5,nan,"2024-03-05 11:51:33.000000"
MQ6,nan,"2024-03-05 11:51:34.000000"
MQ7,inf,"2024-03-05 11:51:34.000000"
MQ8,nan,"2024-03-05 11:51:35.000000"
TGS2600,0.981825948,"2024-03-05 11:51:35.000000"
TGS2602,0.982858717,"2024-03-05 11:51:36.000000"
TGS2612,1.031947136,"2024-03-05 11:51:36.000000"
MQ9,inf,"2024-03-05 11:51:37.000000"
MQ10,inf,"2024-03-05 11:51:38.000000"
MQ11,inf,"2024-03-05 11:51:38.000000"
TGS2620,0.989243627,"2024-03-05 11:51:39.000000"
TGS2603,0.971633792,"2024-03-05 11:51:39.000000"
TGS2610,0.960295498,"2024-03-05 11:51:39.000000"
TGS2611,0.967083812,"2024-03-05 11:51:40.000000"
MQ12,inf,"2024-03-05 11:51:40.000000"
,inf,"2024-03-05 11:51:43.000000"
MQ5,inf,"2024-03-05 11:51:43.000000"
MQ6,nan,"2024-03-05 11:51:44.000000"
MQ7,inf,"2024-03-05 11:51:44.000000"
MQ8,inf,"2024-03-05 11:51:45.000000"
TGS2600,0.984684289,"2024-03-05 11:51:45.000000"
TGS2602,1.007741213,"2024-03-05 11:51:46.000000"
TGS2612,0.949690461,"2024-03-05 11:51:46.000000"
MQ9,nan,"2024-03-05 11:51:47.000000"
MQ10,inf,"2024-03-05 11:51:47.000000"
MQ11,inf,"2024-03-05 11:51:47.000000"
TGS2620,0.989243627,"2024-03-05 11:51:48.000000"
TGS2603,0.971633792,"2024-03-05 11:51:48.000000"
TGS2610,0.960295498,"2024-03-05 11:51:49.000000"
TGS2611,0.967083812,"2024-03-05 11:51:49.000000"
MQ12,inf,"2024-03-05 11:51:50.000000"
,inf,"2024-03-05 11:51:53.000000"
MQ5,inf,"2024-03-05 11:51:53.000000"
MQ6,inf,"2024-03-05 11:51:54.000000"
MQ7,inf,"2024-03-05 11:51:54.000000"
MQ8,inf,"2024-03-05 11:51:55.000000"
TGS2600,0.991829991,"2024-03-05 11:51:55.000000"
TGS2602,0.982858717,"2024-03-05 11:51:55.000000"
TGS2612,0.949690461,"2024-03-05 11:51:56.000000"
MQ9,inf,"2024-03-05 11:51:57.000000"
MQ10,inf,"2024-03-05 11:51:57.000000"
MQ11,nan,"2024-03-05 11:51:57.000000"
TGS2620,0.989243627,"2024-03-05 11:51:58.000000"
TGS2603,0.969876766,"2024-03-05 11:51:58.000000"
TGS2610,0.960295498,"2024-03-05 11:51:59.000000"
TGS2611,0.967083812,"2024-03-05 11:51:59.000000"
MQ12,inf,"2024-03-05 11:52:00.000000"
,inf,"2024-03-05 11:52:02.000000"
MQ5,inf,"2024-03-05 11:52:03.000000"
MQ6,inf,"2024-03-05 11:52:04.000000"
MQ7,inf,"2024-03-05 11:52:04.000000"
MQ8,inf,"2024-03-05 11:52:05.000000"
TGS2600,0.980396807,"2024-03-05 11:52:05.000000"
TGS2602,0.982858717,"2024-03-05 11:52:05.000000"
TGS2612,0.949690461,"2024-03-05 11:52:06.000000"
MQ9,inf,"2024-03-05 11:52:07.000000"
MQ10,inf,"2024-03-05 11:52:07.000000"
MQ11,inf,"2024-03-05 11:52:07.000000"
TGS2620,0.983598888,"2024-03-05 11:52:08.000000"
TGS2603,0.966362715,"2024-03-05 11:52:09.000000"
TGS2610,0.947984040,"2024-03-05 11:52:09.000000"
TGS2611,0.960963011,"2024-03-05 11:52:10.000000"
MQ12,inf,"2024-03-05 11:52:10.000000"
,inf,"2024-03-05 11:52:13.000000"
MQ5,inf,"2024-03-05 11:52:13.000000"
MQ6,inf,"2024-03-05 11:52:14.000000"
MQ7,inf,"2024-03-05 11:52:15.000000"
MQ8,inf,"2024-03-05 11:52:15.000000"
TGS2600,0.991829991,"2024-03-05 11:52:16.000000"
TGS2602,0.998410285,"2024-03-05 11:52:17.000000"
TGS2612,1.144115329,"2024-03-05 11:52:18.000000"
MQ9,inf,"2024-03-05 11:52:18.000000"
MQ10,nan,"2024-03-05 11:52:19.000000"
MQ11,inf,"2024-03-05 11:52:19.000000"
TGS2620,1.182576537,"2024-03-05 11:52:20.000000"
TGS2603,0.971633792,"2024-03-05 11:52:21.000000"
TGS2610,1.717451572,"2024-03-05 11:52:21.000000"
TGS2611,1.566920519,"2024-03-05 11:52:23.000000"
MQ12,inf,"2024-03-05 11:52:23.000000"
,inf,"2024-03-05 11:52:26.000000"
MQ5,inf,"2024-03-05 11:52:26.000000"
MQ6,inf,"2024-03-05 11:52:27.000000"
MQ7,inf,"2024-03-05 11:52:27.000000"
MQ8,inf,"2024-03-05 11:52:28.000000"
TGS2600,1.463449478,"2024-03-05 11:52:28.000000"
TGS2602,0.989079356,"2024-03-05 11:52:29.000000"
TGS2612,1.278717041,"2024-03-05 11:52:29.000000"
MQ9,inf,"2024-03-05 11:52:30.000000"
MQ10,inf,"2024-03-05 11:52:30.000000"
MQ11,inf,"2024-03-05 11:52:31.000000"
TGS2620,1.445057750,"2024-03-05 11:52:33.000000"
TGS2603,1.050699830,"2024-03-05 11:52:35.000000"
TGS2610,1.575869560,"2024-03-05 11:52:36.000000"
TGS2611,1.346572399,"2024-03-05 11:52:36.000000"
MQ12,inf,"2024-03-05 11:52:37.000000"
,inf,"2024-03-05 11:52:39.000000"
MQ5,inf,"2024-03-05 11:52:40.000000"
MQ6,inf,"2024-03-05 11:52:40.000000"
MQ7,nan,"2024-03-05 11:52:41.000000"
MQ8,inf,"2024-03-05 11:52:41.000000"
TGS2600,1.463449478,"2024-03-05 11:52:42.000000"
TGS2602,0.992189646,"2024-03-05 11:52:43.000000"
TGS2612,1.129159570,"2024-03-05 11:52:43.000000"
MQ9,inf,"2024-03-05 11:52:44.000000"
MQ10,inf,"2024-03-05 11:52:45.000000"
MQ11,inf,"2024-03-05 11:52:45.000000"
TGS2620,1.398488522,"2024-03-05 11:52:46.000000"
TGS2603,1.113952637,"2024-03-05 11:52:46.000000"
TGS2610,1.341951370,"2024-03-05 11:52:47.000000"
TGS2611,1.224156737,"2024-03-05 11:52:47.000000"
MQ12,inf,"2024-03-05 11:52:47.000000"
