Sensor,Value,stamp
,inf,"2024-02-28 08:00:20.000000"
MQ5,inf,"2024-02-28 08:00:21.000000"
MQ6,inf,"2024-02-28 08:00:21.000000"
MQ7,inf,"2024-02-28 08:00:21.000000"
,inf,"2024-02-28 08:00:27.000000"
MQ5,inf,"2024-02-28 08:00:27.000000"
MQ6,inf,"2024-02-28 08:00:27.000000"
MQ7,inf,"2024-02-28 08:00:28.000000"
MQ8,inf,"2024-02-28 08:00:29.000000"
TGS2600,0.992644489,"2024-02-28 08:00:30.000000"
TGS2602,0.981114686,"2024-02-28 08:00:30.000000"
TGS2612,0.940050066,"2024-02-28 08:00:31.000000"
MQ9,inf,"2024-02-28 08:00:31.000000"
MQ10,inf,"2024-02-28 08:00:32.000000"
MQ11,inf,"2024-02-28 08:00:35.000000"
TGS2620,0.994746566,"2024-02-28 08:00:35.000000"
TGS2603,0.980049193,"2024-02-28 08:00:37.000000"
TGS2610,0.959557772,"2024-02-28 08:00:38.000000"
TGS2611,0.966985762,"2024-02-28 08:00:39.000000"
MQ12,inf,"2024-02-28 08:00:40.000000"
,inf,"2024-02-28 08:00:43.000000"
MQ5,inf,"2024-02-28 08:00:44.000000"
MQ6,inf,"2024-02-28 08:00:44.000000"
MQ7,inf,"2024-02-28 08:00:44.000000"
MQ8,inf,"2024-02-28 08:00:45.000000"
TGS2600,0.991246402,"2024-02-28 08:00:46.000000"
TGS2602,0.978350937,"2024-02-28 08:00:46.000000"
TGS2612,0.940050066,"2024-02-28 08:00:46.000000"
MQ9,inf,"2024-02-28 08:00:47.000000"
MQ10,nan,"2024-02-28 08:00:47.000000"
MQ11,inf,"2024-02-28 08:00:48.000000"
TGS2620,0.993382037,"2024-02-28 08:00:48.000000"
TGS2603,0.977681935,"2024-02-28 08:00:49.000000"
TGS2610,0.959557772,"2024-02-28 08:00:49.000000"
TGS2611,0.984567285,"2024-02-28 08:00:49.000000"
MQ12,inf,"2024-02-28 08:00:50.000000"
,inf,"2024-02-28 08:00:52.000000"
MQ5,inf,"2024-02-28 08:00:53.000000"
MQ6,inf,"2024-02-28 08:00:53.000000"
MQ7,nan,"2024-02-28 08:00:54.000000"
MQ8,inf,"2024-02-28 08:00:54.000000"
TGS2600,0.998236835,"2024-02-28 08:00:55.000000"
TGS2602,0.978350937,"2024-02-28 08:00:55.000000"
TGS2612,0.946578145,"2024-02-28 08:00:56.000000"
MQ9,nan,"2024-02-28 08:00:56.000000"
MQ10,inf,"2024-02-28 08:00:57.000000"
MQ11,inf,"2024-02-28 08:00:58.000000"
TGS2620,1.012485504,"2024-02-28 08:00:58.000000"
TGS2603,1.010823727,"2024-02-28 08:00:59.000000"
TGS2610,1.001020074,"2024-02-28 08:01:02.000000"
TGS2611,1.043172479,"2024-02-28 08:01:02.000000"
MQ12,inf,"2024-02-28 08:01:03.000000"
,inf,"2024-02-28 08:01:07.000000"
MQ5,inf,"2024-02-28 08:01:07.000000"
MQ6,inf,"2024-02-28 08:01:08.000000"
MQ7,inf,"2024-02-28 08:01:08.000000"
MQ8,inf,"2024-02-28 08:01:10.000000"
TGS2600,1.017810106,"2024-02-28 08:01:10.000000"
TGS2602,0.997696877,"2024-02-28 08:01:10.000000"
TGS2612,0.946578145,"2024-02-28 08:01:12.000000"
MQ9,inf,"2024-02-28 08:01:12.000000"
MQ10,inf,"2024-02-28 08:01:12.000000"
MQ11,inf,"2024-02-28 08:01:13.000000"
TGS2620,1.022037268,"2024-02-28 08:01:13.000000"
TGS2603,0.984783769,"2024-02-28 08:01:14.000000"
TGS2610,0.995096922,"2024-02-28 08:01:14.000000"
TGS2611,0.990427852,"2024-02-28 08:01:14.000000"
MQ12,inf,"2024-02-28 08:01:15.000000"
,inf,"2024-02-28 08:01:17.000000"
MQ5,inf,"2024-02-28 08:01:18.000000"
MQ6,inf,"2024-02-28 08:01:19.000000"
MQ7,inf,"2024-02-28 08:01:19.000000"
,inf,"2024-02-28 08:01:24.000000"
MQ5,inf,"2024-02-28 08:01:24.000000"
MQ6,inf,"2024-02-28 08:01:25.000000"
MQ7,inf,"2024-02-28 08:01:25.000000"
MQ8,inf,"2024-02-28 08:01:26.000000"
TGS2600,1.008023500,"2024-02-28 08:01:27.000000"
TGS2602,0.975587249,"2024-02-28 08:01:27.000000"
TGS2612,0.998803198,"2024-02-28 08:01:28.000000"
MQ9,inf,"2024-02-28 08:01:30.000000"
MQ10,inf,"2024-02-28 08:01:31.000000"
MQ11,nan,"2024-02-28 08:01:31.000000"
TGS2620,1.008391976,"2024-02-28 08:01:32.000000"
TGS2603,0.984783769,"2024-02-28 08:01:33.000000"
TGS2610,0.977327347,"2024-02-28 08:01:33.000000"
TGS2611,1.025590897,"2024-02-28 08:01:34.000000"
MQ12,inf,"2024-02-28 08:01:34.000000"
,inf,"2024-02-28 08:01:37.000000"
MQ5,inf,"2024-02-28 08:01:37.000000"
MQ6,inf,"2024-02-28 08:01:38.000000"
MQ7,inf,"2024-02-28 08:01:38.000000"
MQ8,inf,"2024-02-28 08:01:39.000000"
TGS2600,0.995440662,"2024-02-28 08:01:39.000000"
TGS2602,0.970059872,"2024-02-28 08:01:39.000000"
TGS2612,0.920465648,"2024-02-28 08:01:40.000000"
MQ9,inf,"2024-02-28 08:01:40.000000"
MQ10,inf,"2024-02-28 08:01:41.000000"
MQ11,inf,"2024-02-28 08:01:41.000000"
TGS2620,0.998840153,"2024-02-28 08:01:42.000000"
TGS2603,0.982416511,"2024-02-28 08:01:43.000000"
TGS2610,0.965480924,"2024-02-28 08:01:43.000000"
TGS2611,0.966985762,"2024-02-28 08:01:44.000000"
MQ12,inf,"2024-02-28 08:01:44.000000"
,inf,"2024-02-28 08:01:47.000000"
MQ5,inf,"2024-02-28 08:01:47.000000"
MQ6,inf,"2024-02-28 08:01:48.000000"
MQ7,inf,"2024-02-28 08:01:48.000000"
MQ8,inf,"2024-02-28 08:01:49.000000"
TGS2600,0.989848316,"2024-02-28 08:01:50.000000"
TGS2602,0.967296124,"2024-02-28 08:01:50.000000"
TGS2612,0.900881290,"2024-02-28 08:01:50.000000"
MQ9,inf,"2024-02-28 08:01:51.000000"
MQ10,inf,"2024-02-28 08:01:51.000000"
MQ11,inf,"2024-02-28 08:01:52.000000"
TGS2620,0.993382037,"2024-02-28 08:01:53.000000"
TGS2603,0.980049193,"2024-02-28 08:01:54.000000"
TGS2610,0.959557772,"2024-02-28 08:01:54.000000"
TGS2611,0.961125255,"2024-02-28 08:01:54.000000"
MQ12,inf,"2024-02-28 08:01:55.000000"
,inf,"2024-02-28 08:01:58.000000"
MQ5,inf,"2024-02-28 08:01:58.000000"
MQ6,inf,"2024-02-28 08:02:00.000000"
MQ7,inf,"2024-02-28 08:02:00.000000"
MQ8,inf,"2024-02-28 08:02:02.000000"
TGS2600,0.987052143,"2024-02-28 08:02:02.000000"
TGS2602,0.964532435,"2024-02-28 08:02:03.000000"
TGS2612,0.894353151,"2024-02-28 08:02:03.000000"
MQ9,inf,"2024-02-28 08:02:04.000000"
MQ10,inf,"2024-02-28 08:02:05.000000"
MQ11,inf,"2024-02-28 08:02:07.000000"
TGS2620,0.990652978,"2024-02-28 08:02:07.000000"
TGS2603,0.977681935,"2024-02-28 08:02:08.000000"
TGS2610,1.012866497,"2024-02-28 08:02:08.000000"
TGS2611,0.955264688,"2024-02-28 08:02:09.000000"
MQ12,inf,"2024-02-28 08:02:09.000000"
,inf,"2024-02-28 08:02:12.000000"
MQ5,inf,"2024-02-28 08:02:12.000000"
MQ6,inf,"2024-02-28 08:02:13.000000"
MQ7,inf,"2024-02-28 08:02:13.000000"
MQ8,inf,"2024-02-28 08:02:13.000000"
TGS2600,0.978663564,"2024-02-28 08:02:14.000000"
TGS2602,0.964532435,"2024-02-28 08:02:14.000000"
TGS2612,0.887825012,"2024-02-28 08:02:15.000000"
MQ9,inf,"2024-02-28 08:02:15.000000"
MQ10,inf,"2024-02-28 08:02:15.000000"
MQ11,inf,"2024-02-28 08:02:16.000000"
TGS2620,0.986559331,"2024-02-28 08:02:16.000000"
TGS2603,0.975314677,"2024-02-28 08:02:17.000000"
TGS2610,0.953634560,"2024-02-28 08:02:17.000000"
TGS2611,0.955264688,"2024-02-28 08:02:18.000000"
MQ12,inf,"2024-02-28 08:02:18.000000"
,inf,"2024-02-28 08:02:21.000000"
MQ5,inf,"2024-02-28 08:02:21.000000"
MQ6,inf,"2024-02-28 08:02:22.000000"
MQ7,inf,"2024-02-28 08:02:23.000000"
MQ8,inf,"2024-02-28 08:02:23.000000"
TGS2600,0.977265477,"2024-02-28 08:02:24.000000"
TGS2602,0.964532435,"2024-02-28 08:02:24.000000"
TGS2612,0.894353151,"2024-02-28 08:02:26.000000"
MQ9,inf,"2024-02-28 08:02:27.000000"
MQ10,inf,"2024-02-28 08:02:27.000000"
MQ11,inf,"2024-02-28 08:02:28.000000"
TGS2620,0.985194802,"2024-02-28 08:02:28.000000"
TGS2603,0.972947419,"2024-02-28 08:02:29.000000"
TGS2610,0.953634560,"2024-02-28 08:02:30.000000"
TGS2611,0.955264688,"2024-02-28 08:02:31.000000"
MQ12,inf,"2024-02-28 08:02:31.000000"
,inf,"2024-02-28 08:02:34.000000"
MQ5,inf,"2024-02-28 08:02:34.000000"
