Sensor,Value,stamp
,inf,"2024-03-04 10:36:35.000000"
MQ5,inf,"2024-03-04 10:36:36.000000"
MQ6,inf,"2024-03-04 10:36:36.000000"
MQ7,inf,"2024-03-04 10:36:37.000000"
MQ8,inf,"2024-03-04 10:36:37.000000"
TGS2600,0.987672389,"2024-03-04 10:36:38.000000"
TGS2602,1.009202838,"2024-03-04 10:36:38.000000"
TGS2612,0.920618832,"2024-03-04 10:36:38.000000"
MQ9,nan,"2024-03-04 10:36:39.000000"
MQ10,inf,"2024-03-04 10:36:39.000000"
MQ11,inf,"2024-03-04 10:36:39.000000"
TGS2620,0.989272833,"2024-03-04 10:36:40.000000"
TGS2603,0.985689580,"2024-03-04 10:36:40.000000"
TGS2610,0.927229226,"2024-03-04 10:36:40.000000"
TGS2611,0.942068160,"2024-03-04 10:36:41.000000"
MQ12,inf,"2024-03-04 10:36:41.000000"
,nan,"2024-03-04 10:36:43.000000"
MQ5,inf,"2024-03-04 10:36:44.000000"
MQ6,nan,"2024-03-04 10:36:44.000000"
MQ7,inf,"2024-03-04 10:36:44.000000"
MQ8,inf,"2024-03-04 10:36:45.000000"
TGS2600,0.986204863,"2024-03-04 10:36:45.000000"
TGS2602,0.970953107,"2024-03-04 10:36:46.000000"
TGS2612,0.913010418,"2024-03-04 10:36:46.000000"
MQ9,inf,"2024-03-04 10:36:47.000000"
MQ10,inf,"2024-03-04 10:36:47.000000"
MQ11,inf,"2024-03-04 10:36:48.000000"
TGS2620,0.989272833,"2024-03-04 10:36:48.000000"
TGS2603,0.985689580,"2024-03-04 10:36:48.000000"
TGS2610,0.927229226,"2024-03-04 10:36:49.000000"
TGS2611,0.935571194,"2024-03-04 10:36:49.000000"
MQ12,inf,"2024-03-04 10:36:49.000000"
,inf,"2024-03-04 10:36:52.000000"
MQ5,inf,"2024-03-04 10:36:52.000000"
MQ6,inf,"2024-03-04 10:36:53.000000"
MQ7,inf,"2024-03-04 10:36:53.000000"
MQ8,inf,"2024-03-04 10:36:54.000000"
TGS2600,0.990607560,"2024-03-04 10:36:54.000000"
TGS2602,0.968010843,"2024-03-04 10:36:55.000000"
TGS2612,1.042353511,"2024-03-04 10:36:55.000000"
MQ9,inf,"2024-03-04 10:36:55.000000"
MQ10,inf,"2024-03-04 10:36:56.000000"
MQ11,inf,"2024-03-04 10:36:57.000000"
TGS2620,1.166908622,"2024-03-04 10:36:57.000000"
TGS2603,0.985689580,"2024-03-04 10:36:58.000000"
TGS2610,1.371254444,"2024-03-04 10:36:58.000000"
TGS2611,1.292907357,"2024-03-04 10:36:59.000000"
