Sensor,Value,stamp
,inf,"2024-03-05 11:16:26.000000"
MQ5,inf,"2024-03-05 11:16:27.000000"
MQ6,inf,"2024-03-05 11:16:27.000000"
MQ7,inf,"2024-03-05 11:16:28.000000"
MQ8,inf,"2024-03-05 11:16:28.000000"
TGS2600,0.990337789,"2024-03-05 11:16:29.000000"
TGS2602,0.982333958,"2024-03-05 11:16:29.000000"
TGS2612,0.940841019,"2024-03-05 11:16:30.000000"
MQ9,inf,"2024-03-05 11:16:30.000000"
MQ10,inf,"2024-03-05 11:16:30.000000"
MQ11,inf,"2024-03-05 11:16:31.000000"
TGS2620,0.990634501,"2024-03-05 11:16:31.000000"
TGS2603,0.989092052,"2024-03-05 11:16:32.000000"
TGS2610,0.958746791,"2024-03-05 11:16:32.000000"
TGS2611,0.969468296,"2024-03-05 11:16:32.000000"
MQ12,inf,"2024-03-05 11:16:33.000000"
,inf,"2024-03-05 11:16:35.000000"
MQ5,inf,"2024-03-05 11:16:36.000000"
MQ6,nan,"2024-03-05 11:16:37.000000"
MQ7,inf,"2024-03-05 11:16:37.000000"
MQ8,inf,"2024-03-05 11:16:37.000000"
TGS2600,0.987463057,"2024-03-05 11:16:38.000000"
TGS2602,0.982333958,"2024-03-05 11:16:39.000000"
TGS2612,0.947968602,"2024-03-05 11:16:39.000000"
MQ9,inf,"2024-03-05 11:16:40.000000"
MQ10,inf,"2024-03-05 11:16:40.000000"
MQ11,inf,"2024-03-05 11:16:41.000000"
TGS2620,0.990634501,"2024-03-05 11:16:41.000000"
TGS2603,0.990937412,"2024-03-05 11:16:41.000000"
TGS2610,0.958746791,"2024-03-05 11:16:42.000000"
TGS2611,0.969468296,"2024-03-05 11:16:42.000000"
MQ12,inf,"2024-03-05 11:16:43.000000"
,inf,"2024-03-05 11:16:45.000000"
MQ5,inf,"2024-03-05 11:16:46.000000"
MQ6,inf,"2024-03-05 11:16:46.000000"
MQ7,inf,"2024-03-05 11:16:47.000000"
MQ8,inf,"2024-03-05 11:16:47.000000"
TGS2600,0.993212461,"2024-03-05 11:16:47.000000"
TGS2602,0.979348123,"2024-03-05 11:16:48.000000"
TGS2612,1.040627241,"2024-03-05 11:16:48.000000"
MQ9,inf,"2024-03-05 11:16:49.000000"
MQ10,inf,"2024-03-05 11:16:50.000000"
MQ11,inf,"2024-03-05 11:16:50.000000"
TGS2620,1.207603455,"2024-03-05 11:16:51.000000"
TGS2603,0.990937412,"2024-03-05 11:16:51.000000"
TGS2610,1.666840792,"2024-03-05 11:16:52.000000"
TGS2611,1.525214434,"2024-03-05 11:16:52.000000"
MQ12,inf,"2024-03-05 11:16:53.000000"
,inf,"2024-03-05 11:16:55.000000"
MQ5,inf,"2024-03-05 11:16:56.000000"
MQ6,inf,"2024-03-05 11:16:56.000000"
MQ7,inf,"2024-03-05 11:16:57.000000"
MQ8,inf,"2024-03-05 11:16:58.000000"
TGS2600,1.471851826,"2024-03-05 11:16:58.000000"
TGS2602,0.979348123,"2024-03-05 11:16:59.000000"
TGS2612,1.290092587,"2024-03-05 11:16:59.000000"
MQ9,inf,"2024-03-05 11:17:00.000000"
MQ10,inf,"2024-03-05 11:17:00.000000"
MQ11,inf,"2024-03-05 11:17:01.000000"
TGS2620,1.461685538,"2024-03-05 11:17:01.000000"
TGS2603,1.037070394,"2024-03-05 11:17:01.000000"
TGS2610,1.779634476,"2024-03-05 11:17:02.000000"
TGS2611,1.506689548,"2024-03-05 11:17:02.000000"
MQ12,inf,"2024-03-05 11:17:03.000000"
,inf,"2024-03-05 11:17:06.000000"
MQ5,inf,"2024-03-05 11:17:06.000000"
MQ6,inf,"2024-03-05 11:17:07.000000"
MQ7,inf,"2024-03-05 11:17:07.000000"
MQ8,inf,"2024-03-05 11:17:07.000000"
TGS2600,1.471851826,"2024-03-05 11:17:08.000000"
TGS2602,0.979348123,"2024-03-05 11:17:08.000000"
TGS2612,1.297220230,"2024-03-05 11:17:09.000000"
MQ9,inf,"2024-03-05 11:17:09.000000"
MQ10,inf,"2024-03-05 11:17:10.000000"
MQ11,inf,"2024-03-05 11:17:10.000000"
TGS2620,1.461685538,"2024-03-05 11:17:11.000000"
TGS2603,1.090584755,"2024-03-05 11:17:11.000000"
TGS2610,1.629242897,"2024-03-05 11:17:13.000000"
TGS2611,1.414065242,"2024-03-05 11:17:13.000000"
MQ12,inf,"2024-03-05 11:17:14.000000"
,inf,"2024-03-05 11:17:16.000000"
MQ5,inf,"2024-03-05 11:17:16.000000"
MQ6,inf,"2024-03-05 11:17:17.000000"
MQ7,inf,"2024-03-05 11:17:17.000000"
MQ8,inf,"2024-03-05 11:17:18.000000"
TGS2600,1.471851826,"2024-03-05 11:17:18.000000"
TGS2602,0.979348123,"2024-03-05 11:17:18.000000"
TGS2612,1.176051259,"2024-03-05 11:17:19.000000"
MQ9,inf,"2024-03-05 11:17:20.000000"
MQ10,inf,"2024-03-05 11:17:20.000000"
MQ11,inf,"2024-03-05 11:17:21.000000"
TGS2620,1.461685538,"2024-03-05 11:17:21.000000"
TGS2603,1.133027077,"2024-03-05 11:17:22.000000"
TGS2610,1.528981805,"2024-03-05 11:17:22.000000"
TGS2611,1.358490586,"2024-03-05 11:17:22.000000"
MQ12,inf,"2024-03-05 11:17:23.000000"
,inf,"2024-03-05 11:17:25.000000"
MQ5,inf,"2024-03-05 11:17:26.000000"
MQ6,inf,"2024-03-05 11:17:27.000000"
MQ7,inf,"2024-03-05 11:17:27.000000"
MQ8,inf,"2024-03-05 11:17:28.000000"
TGS2600,1.471851826,"2024-03-05 11:17:28.000000"
TGS2602,0.973376513,"2024-03-05 11:17:29.000000"
TGS2612,1.119030595,"2024-03-05 11:17:29.000000"
MQ9,nan,"2024-03-05 11:17:31.000000"
MQ10,inf,"2024-03-05 11:17:31.000000"
MQ11,inf,"2024-03-05 11:17:33.000000"
TGS2620,1.418862700,"2024-03-05 11:17:34.000000"
TGS2603,1.168088198,"2024-03-05 11:17:35.000000"
TGS2610,1.366057515,"2024-03-05 11:17:37.000000"
TGS2611,1.228816509,"2024-03-05 11:17:40.000000"
,inf,"2024-03-05 11:18:00.000000"
MQ5,inf,"2024-03-05 11:18:01.000000"
MQ6,inf,"2024-03-05 11:18:03.000000"
MQ7,inf,"2024-03-05 11:18:04.000000"
MQ8,inf,"2024-03-05 11:18:05.000000"
TGS2600,1.243312240,"2024-03-05 11:18:06.000000"
TGS2602,0.970390677,"2024-03-05 11:18:07.000000"
TGS2612,0.969351351,"2024-03-05 11:18:08.000000"
MQ9,inf,"2024-03-05 11:18:09.000000"
MQ10,inf,"2024-03-05 11:18:09.000000"
MQ11,inf,"2024-03-05 11:18:11.000000"
TGS2620,1.201893687,"2024-03-05 11:18:12.000000"
TGS2603,1.204994678,"2024-03-05 11:18:13.000000"
TGS2610,1.102872133,"2024-03-05 11:18:14.000000"
TGS2611,1.055917621,"2024-03-05 11:18:16.000000"
MQ12,inf,"2024-03-05 11:18:19.000000"
,inf,"2024-03-05 11:18:22.000000"
MQ5,inf,"2024-03-05 11:18:23.000000"
MQ6,inf,"2024-03-05 11:18:24.000000"
MQ7,inf,"2024-03-05 11:18:25.000000"
MQ8,inf,"2024-03-05 11:18:25.000000"
TGS2600,1.151321530,"2024-03-05 11:18:26.000000"
TGS2602,0.949489951,"2024-03-05 11:18:27.000000"
TGS2612,0.947968602,"2024-03-05 11:18:27.000000"
MQ9,inf,"2024-03-05 11:18:28.000000"
MQ10,inf,"2024-03-05 11:18:29.000000"
MQ11,inf,"2024-03-05 11:18:30.000000"
TGS2620,1.123385191,"2024-03-05 11:18:32.000000"
TGS2603,1.206839919,"2024-03-05 11:18:33.000000"
TGS2610,1.033942580,"2024-03-05 11:18:34.000000"
TGS2611,1.025042892,"2024-03-05 11:18:35.000000"
MQ12,inf,"2024-03-05 11:18:36.000000"
,inf,"2024-03-05 11:18:40.000000"
MQ5,inf,"2024-03-05 11:18:41.000000"
MQ6,inf,"2024-03-05 11:18:44.000000"
MQ7,inf,"2024-03-05 11:18:45.000000"
MQ8,inf,"2024-03-05 11:18:47.000000"
