Sensor,Value,stamp
,inf,"2024-02-28 08:32:01.000000"
MQ5,inf,"2024-02-28 08:32:01.000000"
MQ6,inf,"2024-02-28 08:32:02.000000"
MQ7,inf,"2024-02-28 08:32:03.000000"
MQ8,inf,"2024-02-28 08:32:03.000000"
TGS2600,1.124172807,"2024-02-28 08:32:04.000000"
TGS2602,0.557413101,"2024-02-28 08:32:04.000000"
TGS2612,0.885518074,"2024-02-28 08:32:05.000000"
MQ9,inf,"2024-02-28 08:32:05.000000"
MQ10,inf,"2024-02-28 08:32:06.000000"
MQ11,inf,"2024-02-28 08:32:06.000000"
TGS2620,1.103382587,"2024-02-28 08:32:07.000000"
TGS2603,1.364308596,"2024-02-28 08:32:07.000000"
TGS2610,0.869381428,"2024-02-28 08:32:08.000000"
TGS2611,1.685486078,"2024-02-28 08:32:09.000000"
MQ12,inf,"2024-02-28 08:32:09.000000"
,inf,"2024-02-28 08:32:12.000000"
MQ5,inf,"2024-02-28 08:32:12.000000"
MQ6,inf,"2024-02-28 08:32:12.000000"
MQ7,inf,"2024-02-28 08:32:13.000000"
MQ8,inf,"2024-02-28 08:32:13.000000"
TGS2600,1.105037928,"2024-02-28 08:32:13.000000"
TGS2602,1.393532753,"2024-02-28 08:32:14.000000"
TGS2612,0.891667485,"2024-02-28 08:32:14.000000"
MQ9,inf,"2024-02-28 08:32:15.000000"
MQ10,inf,"2024-02-28 08:32:15.000000"
MQ11,inf,"2024-02-28 08:32:16.000000"
TGS2620,1.103382587,"2024-02-28 08:32:16.000000"
TGS2603,1.375400543,"2024-02-28 08:32:16.000000"
TGS2610,0.869381428,"2024-02-28 08:32:17.000000"
TGS2611,1.606169105,"2024-02-28 08:32:17.000000"
MQ12,inf,"2024-02-28 08:32:17.000000"
,inf,"2024-02-28 08:32:20.000000"
MQ5,inf,"2024-02-28 08:32:20.000000"
MQ6,inf,"2024-02-28 08:32:21.000000"
MQ7,inf,"2024-02-28 08:32:21.000000"
MQ8,inf,"2024-02-28 08:32:21.000000"
TGS2600,1.109821677,"2024-02-28 08:32:22.000000"
TGS2602,1.393532753,"2024-02-28 08:32:22.000000"
TGS2612,0.891667485,"2024-02-28 08:32:22.000000"
MQ9,inf,"2024-02-28 08:32:23.000000"
MQ10,inf,"2024-02-28 08:32:23.000000"
MQ11,inf,"2024-02-28 08:32:23.000000"
TGS2620,1.106447458,"2024-02-28 08:32:24.000000"
TGS2603,1.375400543,"2024-02-28 08:32:24.000000"
TGS2610,0.874815106,"2024-02-28 08:32:24.000000"
TGS2611,1.616083622,"2024-02-28 08:32:25.000000"
MQ12,inf,"2024-02-28 08:32:25.000000"
,inf,"2024-02-28 08:32:28.000000"
MQ5,inf,"2024-02-28 08:32:28.000000"
MQ6,inf,"2024-02-28 08:32:29.000000"
MQ7,inf,"2024-02-28 08:32:29.000000"
MQ8,nan,"2024-02-28 08:32:29.000000"
TGS2600,1.117794514,"2024-02-28 08:32:30.000000"
TGS2602,1.393532753,"2024-02-28 08:32:30.000000"
TGS2612,0.897816956,"2024-02-28 08:32:31.000000"
MQ9,inf,"2024-02-28 08:32:31.000000"
MQ10,inf,"2024-02-28 08:32:31.000000"
MQ11,inf,"2024-02-28 08:32:32.000000"
TGS2620,1.111044884,"2024-02-28 08:32:32.000000"
TGS2603,1.375400543,"2024-02-28 08:32:32.000000"
TGS2610,0.901983261,"2024-02-28 08:32:34.000000"
TGS2611,1.645827532,"2024-02-28 08:32:34.000000"
MQ12,inf,"2024-02-28 08:32:35.000000"
,inf,"2024-02-28 08:32:37.000000"
MQ5,inf,"2024-02-28 08:32:38.000000"
MQ6,inf,"2024-02-28 08:32:38.000000"
MQ7,inf,"2024-02-28 08:32:38.000000"
MQ8,nan,"2024-02-28 08:32:39.000000"
TGS2600,1.130551100,"2024-02-28 08:32:41.000000"
