Sensor,Value,stamp
,inf,"2024-02-28 05:20:57.000000"
MQ5,inf,"2024-02-28 05:20:57.000000"
MQ6,inf,"2024-02-28 05:20:59.000000"
,inf,"2024-02-28 05:21:05.000000"
,inf,"2024-02-28 05:21:10.000000"
MQ5,inf,"2024-02-28 05:21:10.000000"
MQ6,inf,"2024-02-28 05:21:12.000000"
MQ7,inf,"2024-02-28 05:21:12.000000"
MQ8,inf,"2024-02-28 05:21:13.000000"
TGS2600,1.014521599,"2024-02-28 05:21:13.000000"
TGS2602,0.969640553,"2024-02-28 05:21:15.000000"
TGS2612,0.969705045,"2024-02-28 05:21:16.000000"
MQ9,inf,"2024-02-28 05:21:16.000000"
MQ10,inf,"2024-02-28 05:21:16.000000"
MQ11,inf,"2024-02-28 05:21:17.000000"
TGS2620,1.057949424,"2024-02-28 05:21:19.000000"
TGS2603,0.162859082,"2024-02-28 05:21:19.000000"
TGS2610,0.163487732,"2024-02-28 05:21:20.000000"
TGS2611,0.000000000,"2024-02-28 05:21:20.000000"
MQ12,inf,"2024-02-28 05:21:20.000000"
,inf,"2024-02-28 05:21:23.000000"
MQ5,inf,"2024-02-28 05:21:23.000000"
MQ6,inf,"2024-02-28 05:21:25.000000"
MQ7,inf,"2024-02-28 05:21:25.000000"
MQ8,inf,"2024-02-28 05:21:26.000000"
TGS2600,1.235329270,"2024-02-28 05:21:26.000000"
TGS2602,1.262926936,"2024-02-28 05:21:28.000000"
TGS2612,1.268996716,"2024-02-28 05:21:28.000000"
MQ9,inf,"2024-02-28 05:21:29.000000"
MQ10,inf,"2024-02-28 05:21:30.000000"
MQ11,inf,"2024-02-28 05:21:30.000000"
TGS2620,1.147102475,"2024-02-28 05:21:30.000000"
TGS2603,0.244288623,"2024-02-28 05:21:31.000000"
TGS2610,0.326975465,"2024-02-28 05:21:31.000000"
TGS2611,2.024367332,"2024-02-28 05:21:32.000000"
MQ12,inf,"2024-02-28 05:21:33.000000"
,inf,"2024-02-28 05:21:36.000000"
MQ5,inf,"2024-02-28 05:21:36.000000"
MQ6,inf,"2024-02-28 05:21:36.000000"
MQ7,inf,"2024-02-28 05:21:37.000000"
MQ8,inf,"2024-02-28 05:21:37.000000"
TGS2600,1.145812631,"2024-02-28 05:21:38.000000"
TGS2602,1.137232780,"2024-02-28 05:21:38.000000"
TGS2612,1.137308359,"2024-02-28 05:21:38.000000"
MQ9,inf,"2024-02-28 05:21:39.000000"
MQ10,inf,"2024-02-28 05:21:40.000000"
MQ11,inf,"2024-02-28 05:21:40.000000"
TGS2620,1.075780034,"2024-02-28 05:21:40.000000"
TGS2603,0.081429541,"2024-02-28 05:21:40.000000"
TGS2610,0.326975465,"2024-02-28 05:21:41.000000"
TGS2611,0.506091833,"2024-02-28 05:21:41.000000"
MQ12,inf,"2024-02-28 05:21:42.000000"
,inf,"2024-02-28 05:21:44.000000"
MQ5,inf,"2024-02-28 05:21:45.000000"
MQ6,inf,"2024-02-28 05:21:45.000000"
MQ7,inf,"2024-02-28 05:21:45.000000"
MQ8,inf,"2024-02-28 05:21:46.000000"
TGS2600,1.086134911,"2024-02-28 05:21:46.000000"
TGS2602,1.089349270,"2024-02-28 05:21:46.000000"
TGS2612,1.083435893,"2024-02-28 05:21:47.000000"
MQ9,inf,"2024-02-28 05:21:47.000000"
MQ10,inf,"2024-02-28 05:21:48.000000"
MQ11,inf,"2024-02-28 05:21:48.000000"
TGS2620,1.040118814,"2024-02-28 05:21:48.000000"
TGS2603,0.040714771,"2024-02-28 05:21:49.000000"
TGS2610,0.490463197,"2024-02-28 05:21:49.000000"
TGS2611,0.506091833,"2024-02-28 05:21:50.000000"
MQ12,inf,"2024-02-28 05:21:50.000000"
,inf,"2024-02-28 05:21:53.000000"
MQ5,inf,"2024-02-28 05:21:53.000000"
MQ6,inf,"2024-02-28 05:21:54.000000"
MQ7,inf,"2024-02-28 05:21:54.000000"
MQ8,inf,"2024-02-28 05:21:54.000000"
TGS2600,1.038392663,"2024-02-28 05:21:55.000000"
TGS2602,1.041465759,"2024-02-28 05:21:55.000000"
TGS2612,1.035549164,"2024-02-28 05:21:56.000000"
MQ9,inf,"2024-02-28 05:21:56.000000"
MQ10,inf,"2024-02-28 05:21:57.000000"
MQ11,inf,"2024-02-28 05:21:57.000000"
TGS2620,1.010401130,"2024-02-28 05:21:58.000000"
TGS2603,0.081429541,"2024-02-28 05:21:58.000000"
TGS2610,0.653950930,"2024-02-28 05:21:58.000000"
TGS2611,0.506091833,"2024-02-28 05:21:59.000000"
MQ12,inf,"2024-02-28 05:21:59.000000"
,inf,"2024-02-28 05:22:02.000000"
MQ5,inf,"2024-02-28 05:22:03.000000"
MQ6,inf,"2024-02-28 05:22:03.000000"
MQ7,inf,"2024-02-28 05:22:04.000000"
MQ8,inf,"2024-02-28 05:22:04.000000"
TGS2600,1.008553863,"2024-02-28 05:22:06.000000"
TGS2602,1.011538625,"2024-02-28 05:22:06.000000"
TGS2612,1.011605859,"2024-02-28 05:22:07.000000"
MQ9,inf,"2024-02-28 05:22:07.000000"
MQ10,inf,"2024-02-28 05:22:09.000000"
MQ11,inf,"2024-02-28 05:22:11.000000"
TGS2620,1.052005887,"2024-02-28 05:22:11.000000"
TGS2603,0.122144312,"2024-02-28 05:22:12.000000"
TGS2610,0.326975465,"2024-02-28 05:22:12.000000"
TGS2611,0.506091833,"2024-02-28 05:22:14.000000"
MQ12,inf,"2024-02-28 05:22:15.000000"
,inf,"2024-02-28 05:22:17.000000"
MQ5,inf,"2024-02-28 05:22:17.000000"
MQ6,inf,"2024-02-28 05:22:18.000000"
MQ7,inf,"2024-02-28 05:22:19.000000"
MQ8,inf,"2024-02-28 05:22:19.000000"
TGS2600,0.984682739,"2024-02-28 05:22:20.000000"
TGS2602,0.981611431,"2024-02-28 05:22:20.000000"
TGS2612,0.987662554,"2024-02-28 05:22:23.000000"
MQ9,inf,"2024-02-28 05:22:23.000000"
MQ10,inf,"2024-02-28 05:22:24.000000"
MQ11,inf,"2024-02-28 05:22:24.000000"
TGS2620,0.968796432,"2024-02-28 05:22:25.000000"
TGS2603,0.122144312,"2024-02-28 05:22:25.000000"
TGS2610,0.490463197,"2024-02-28 05:22:25.000000"
TGS2611,0.506091833,"2024-02-28 05:22:26.000000"
MQ12,inf,"2024-02-28 05:22:26.000000"
,inf,"2024-02-28 05:22:29.000000"
,inf,"2024-02-28 05:22:34.000000"
MQ5,inf,"2024-02-28 05:22:35.000000"
MQ6,inf,"2024-02-28 05:22:35.000000"
MQ7,inf,"2024-02-28 05:22:38.000000"
MQ8,inf,"2024-02-28 05:22:38.000000"
TGS2600,0.966779411,"2024-02-28 05:22:39.000000"
TGS2602,0.969640553,"2024-02-28 05:22:39.000000"
TGS2612,0.969705045,"2024-02-28 05:22:40.000000"
MQ9,inf,"2024-02-28 05:22:40.000000"
MQ10,inf,"2024-02-28 05:22:41.000000"
MQ11,inf,"2024-02-28 05:22:41.000000"
TGS2620,0.962852895,"2024-02-28 05:22:42.000000"
TGS2603,0.122144312,"2024-02-28 05:22:42.000000"
TGS2610,0.817438662,"2024-02-28 05:22:43.000000"
TGS2611,0.337394565,"2024-02-28 05:22:43.000000"
MQ12,inf,"2024-02-28 05:22:43.000000"
,inf,"2024-02-28 05:22:45.000000"
MQ5,inf,"2024-02-28 05:22:46.000000"
MQ6,inf,"2024-02-28 05:22:47.000000"
MQ7,inf,"2024-02-28 05:22:50.000000"
MQ8,inf,"2024-02-28 05:22:50.000000"
TGS2600,0.960811615,"2024-02-28 05:22:51.000000"
TGS2602,0.969640553,"2024-02-28 05:22:52.000000"
TGS2612,0.963719189,"2024-02-28 05:22:52.000000"
MQ9,inf,"2024-02-28 05:22:54.000000"
MQ10,inf,"2024-02-28 05:22:54.000000"
MQ11,inf,"2024-02-28 05:22:56.000000"
TGS2620,0.962852895,"2024-02-28 05:22:56.000000"
