Sensor,Value,stamp
,inf,"2024-02-26 06:03:02.000000"
MQ5,inf,"2024-02-26 06:03:02.000000"
MQ6,inf,"2024-02-26 06:03:04.000000"
MQ7,inf,"2024-02-26 06:03:05.000000"
MQ8,inf,"2024-02-26 06:03:06.000000"
TGS2600,0.966064453,"2024-02-26 06:03:06.000000"
TGS2602,0.961795330,"2024-02-26 06:03:07.000000"
TGS2612,0.961891770,"2024-02-26 06:03:07.000000"
MQ9,inf,"2024-02-26 06:03:08.000000"
MQ10,inf,"2024-02-26 06:03:08.000000"
MQ11,inf,"2024-02-26 06:03:09.000000"
TGS2620,0.956751466,"2024-02-26 06:03:09.000000"
TGS2603,0.077071287,"2024-02-26 06:03:09.000000"
TGS2610,0.483437777,"2024-02-26 06:03:10.000000"
TGS2611,0.492700726,"2024-02-26 06:03:10.000000"
MQ12,inf,"2024-02-26 06:03:11.000000"
,inf,"2024-02-26 06:03:13.000000"
MQ5,inf,"2024-02-26 06:03:13.000000"
MQ6,inf,"2024-02-26 06:03:14.000000"
MQ7,inf,"2024-02-26 06:03:14.000000"
MQ8,inf,"2024-02-26 06:03:15.000000"
TGS2600,0.954063654,"2024-02-26 06:03:16.000000"
TGS2602,0.955784082,"2024-02-26 06:03:16.000000"
TGS2612,0.955879927,"2024-02-26 06:03:16.000000"
MQ9,inf,"2024-02-26 06:03:17.000000"
MQ10,inf,"2024-02-26 06:03:17.000000"
MQ11,inf,"2024-02-26 06:03:17.000000"
TGS2620,0.986464202,"2024-02-26 06:03:18.000000"
TGS2603,0.077071287,"2024-02-26 06:03:18.000000"
TGS2610,0.483437777,"2024-02-26 06:03:18.000000"
TGS2611,0.328467131,"2024-02-26 06:03:19.000000"
MQ12,inf,"2024-02-26 06:03:19.000000"
,inf,"2024-02-26 06:03:22.000000"
MQ5,inf,"2024-02-26 06:03:22.000000"
MQ6,inf,"2024-02-26 06:03:23.000000"
MQ7,inf,"2024-02-26 06:03:23.000000"
MQ8,inf,"2024-02-26 06:03:23.000000"
TGS2600,1.164077640,"2024-02-26 06:03:24.000000"
TGS2602,1.178199291,"2024-02-26 06:03:24.000000"
TGS2612,1.184329271,"2024-02-26 06:03:24.000000"
MQ9,inf,"2024-02-26 06:03:25.000000"
MQ10,inf,"2024-02-26 06:03:25.000000"
MQ11,inf,"2024-02-26 06:03:25.000000"
TGS2620,1.182568550,"2024-02-26 06:03:26.000000"
TGS2603,0.154142573,"2024-02-26 06:03:26.000000"
TGS2610,0.483437777,"2024-02-26 06:03:26.000000"
TGS2611,0.328467131,"2024-02-26 06:03:27.000000"
MQ12,inf,"2024-02-26 06:03:28.000000"
,inf,"2024-02-26 06:03:30.000000"
MQ5,inf,"2024-02-26 06:03:30.000000"
