Sensor,Value,stamp
,inf,"2024-02-26 03:10:30.000000"
MQ5,inf,"2024-02-26 03:10:30.000000"
MQ6,inf,"2024-02-26 03:10:32.000000"
MQ7,inf,"2024-02-26 03:10:33.000000"
MQ8,inf,"2024-02-26 03:10:34.000000"
TGS2600,1.036749125,"2024-02-26 03:10:34.000000"
TGS2602,1.030643582,"2024-02-26 03:10:35.000000"
TGS2612,0.973385632,"2024-02-26 03:10:35.000000"
MQ9,inf,"2024-02-26 03:10:36.000000"
MQ10,inf,"2024-02-26 03:10:36.000000"
MQ11,inf,"2024-02-26 03:10:36.000000"
TGS2620,0.979749143,"2024-02-26 03:10:37.000000"
TGS2603,0.454928398,"2024-02-26 03:10:38.000000"
TGS2610,0.598006606,"2024-02-26 03:10:38.000000"
TGS2611,0.201342285,"2024-02-26 03:10:39.000000"
MQ12,inf,"2024-02-26 03:10:40.000000"
,inf,"2024-02-26 03:10:42.000000"
MQ5,inf,"2024-02-26 03:10:43.000000"
MQ6,inf,"2024-02-26 03:10:43.000000"
MQ7,inf,"2024-02-26 03:10:45.000000"
MQ8,inf,"2024-02-26 03:10:46.000000"
TGS2600,0.973144829,"2024-02-26 03:10:46.000000"
TGS2602,0.973385632,"2024-02-26 03:10:47.000000"
TGS2612,0.973385632,"2024-02-26 03:10:47.000000"
MQ9,inf,"2024-02-26 03:10:48.000000"
MQ10,inf,"2024-02-26 03:10:49.000000"
MQ11,inf,"2024-02-26 03:10:49.000000"
TGS2620,0.973663747,"2024-02-26 03:10:50.000000"
TGS2603,0.151642799,"2024-02-26 03:10:50.000000"
TGS2610,0.598006606,"2024-02-26 03:10:50.000000"
TGS2611,0.402684569,"2024-02-26 03:10:51.000000"
MQ12,inf,"2024-02-26 03:10:52.000000"
,inf,"2024-02-26 03:10:54.000000"
MQ5,inf,"2024-02-26 03:10:54.000000"
MQ6,inf,"2024-02-26 03:10:56.000000"
MQ7,inf,"2024-02-26 03:10:58.000000"
MQ8,inf,"2024-02-26 03:10:59.000000"
TGS2600,0.973144829,"2024-02-26 03:11:01.000000"
TGS2602,1.043367624,"2024-02-26 03:11:02.000000"
TGS2612,0.973385632,"2024-02-26 03:11:02.000000"
MQ9,inf,"2024-02-26 03:11:03.000000"
MQ10,inf,"2024-02-26 03:11:03.000000"
MQ11,inf,"2024-02-26 03:11:03.000000"
TGS2620,0.979749143,"2024-02-26 03:11:04.000000"
TGS2603,0.151642799,"2024-02-26 03:11:05.000000"
TGS2610,0.199335545,"2024-02-26 03:11:05.000000"
TGS2611,0.805369139,"2024-02-26 03:11:06.000000"
MQ12,inf,"2024-02-26 03:11:06.000000"
,inf,"2024-02-26 03:11:08.000000"
MQ5,inf,"2024-02-26 03:11:09.000000"
MQ6,inf,"2024-02-26 03:11:09.000000"
MQ7,inf,"2024-02-26 03:11:10.000000"
MQ8,inf,"2024-02-26 03:11:10.000000"
TGS2600,1.157597065,"2024-02-26 03:11:11.000000"
TGS2602,1.196055532,"2024-02-26 03:11:12.000000"
TGS2612,1.202417493,"2024-02-26 03:11:12.000000"
MQ9,inf,"2024-02-26 03:11:13.000000"
MQ10,inf,"2024-02-26 03:11:14.000000"
MQ11,inf,"2024-02-26 03:11:15.000000"
TGS2620,1.223165154,"2024-02-26 03:11:16.000000"
TGS2603,0.050547600,"2024-02-26 03:11:16.000000"
TGS2610,0.598006606,"2024-02-26 03:11:17.000000"
