Sensor,Value,stamp
,inf,"2024-02-23 07:22:12.000000"
MQ5,inf,"2024-02-23 07:22:12.000000"
MQ6,inf,"2024-02-23 07:22:13.000000"
MQ7,inf,"2024-02-23 07:22:14.000000"
MQ8,inf,"2024-02-23 07:22:14.000000"
TGS2600,0.964538097,"2024-02-23 07:22:14.000000"
TGS2602,0.964044452,"2024-02-23 07:22:15.000000"
TGS2612,0.964143217,"2024-02-23 07:22:17.000000"
MQ9,inf,"2024-02-23 07:22:17.000000"
MQ10,inf,"2024-02-23 07:22:18.000000"
MQ11,inf,"2024-02-23 07:22:19.000000"
TGS2620,0.966126680,"2024-02-23 07:22:19.000000"
TGS2603,0.116254039,"2024-02-23 07:22:20.000000"
TGS2610,0.324909747,"2024-02-23 07:22:21.000000"
TGS2611,0.503731370,"2024-02-23 07:22:22.000000"
MQ12,inf,"2024-02-23 07:22:22.000000"
,inf,"2024-02-23 07:22:25.000000"
MQ5,inf,"2024-02-23 07:22:26.000000"
MQ6,inf,"2024-02-23 07:22:26.000000"
MQ7,inf,"2024-02-23 07:22:27.000000"
MQ8,inf,"2024-02-23 07:22:27.000000"
TGS2600,0.964538097,"2024-02-23 07:22:28.000000"
TGS2602,0.964044452,"2024-02-23 07:22:28.000000"
TGS2612,0.964143217,"2024-02-23 07:22:29.000000"
MQ9,inf,"2024-02-23 07:22:30.000000"
MQ10,inf,"2024-02-23 07:22:31.000000"
MQ11,inf,"2024-02-23 07:22:32.000000"
TGS2620,1.048600912,"2024-02-23 07:22:33.000000"
TGS2603,0.116254039,"2024-02-23 07:22:33.000000"
TGS2610,0.324909747,"2024-02-23 07:22:34.000000"
TGS2611,1.511194110,"2024-02-23 07:22:34.000000"
MQ12,inf,"2024-02-23 07:22:35.000000"
,inf,"2024-02-23 07:22:37.000000"
MQ5,inf,"2024-02-23 07:22:39.000000"
MQ6,inf,"2024-02-23 07:22:39.000000"
MQ7,inf,"2024-02-23 07:22:41.000000"
MQ8,inf,"2024-02-23 07:22:42.000000"
TGS2600,1.038260698,"2024-02-23 07:22:43.000000"
TGS2602,1.037729383,"2024-02-23 07:22:44.000000"
TGS2612,1.093105078,"2024-02-23 07:22:44.000000"
MQ9,inf,"2024-02-23 07:22:45.000000"
MQ10,inf,"2024-02-23 07:22:47.000000"
MQ11,inf,"2024-02-23 07:22:47.000000"
TGS2620,1.013254762,"2024-02-23 07:22:48.000000"
TGS2603,0.116254039,"2024-02-23 07:22:48.000000"
TGS2610,0.487364620,"2024-02-23 07:22:49.000000"
TGS2611,0.335820913,"2024-02-23 07:22:49.000000"
MQ12,inf,"2024-02-23 07:22:50.000000"
,inf,"2024-02-23 07:22:52.000000"
MQ5,inf,"2024-02-23 07:22:52.000000"
,inf,"2024-02-23 07:22:58.000000"
MQ5,inf,"2024-02-23 07:22:58.000000"
