Sensor,Value,stamp
MQ8,inf,"2024-02-26 05:20:14.000000"
TGS2600,0.991026461,"2024-02-26 05:20:14.000000"
TGS2602,0.986319005,"2024-02-26 05:20:15.000000"
TGS2612,0.986495614,"2024-02-26 05:20:15.000000"
,inf,"2024-02-26 05:20:21.000000"
MQ5,inf,"2024-02-26 05:20:21.000000"
MQ6,inf,"2024-02-26 05:20:22.000000"
MQ7,inf,"2024-02-26 05:20:22.000000"
MQ8,inf,"2024-02-26 05:20:23.000000"
TGS2600,1.048943639,"2024-02-26 05:20:23.000000"
TGS2602,0.986319005,"2024-02-26 05:20:24.000000"
TGS2612,0.986495614,"2024-02-26 05:20:25.000000"
MQ9,inf,"2024-02-26 05:20:28.000000"
MQ10,inf,"2024-02-26 05:20:28.000000"
MQ11,inf,"2024-02-26 05:20:29.000000"
TGS2620,0.982553124,"2024-02-26 05:20:30.000000"
TGS2603,0.186287194,"2024-02-26 05:20:31.000000"
TGS2610,0.552147210,"2024-02-26 05:20:31.000000"
TGS2611,0.373443991,"2024-02-26 05:20:31.000000"
MQ12,inf,"2024-02-26 05:20:32.000000"
,inf,"2024-02-26 05:20:34.000000"
MQ5,inf,"2024-02-26 05:20:34.000000"
MQ6,inf,"2024-02-26 05:20:35.000000"
MQ7,inf,"2024-02-26 05:20:35.000000"
MQ8,inf,"2024-02-26 05:20:37.000000"
TGS2600,0.978155971,"2024-02-26 05:20:37.000000"
TGS2602,0.973425984,"2024-02-26 05:20:38.000000"
TGS2612,0.973600268,"2024-02-26 05:20:40.000000"
MQ9,inf,"2024-02-26 05:20:40.000000"
MQ10,inf,"2024-02-26 05:20:41.000000"
MQ11,inf,"2024-02-26 05:20:41.000000"
TGS2620,0.976334393,"2024-02-26 05:20:42.000000"
TGS2603,0.139715403,"2024-02-26 05:20:42.000000"
TGS2610,0.368098170,"2024-02-26 05:20:43.000000"
TGS2611,0.746887982,"2024-02-26 05:20:43.000000"
MQ12,inf,"2024-02-26 05:20:44.000000"
,inf,"2024-02-26 05:20:46.000000"
MQ5,inf,"2024-02-26 05:20:46.000000"
