Sensor,Value,stamp
,inf,"2024-02-28 01:15:53.000000"
MQ5,inf,"2024-02-28 01:15:53.000000"
MQ6,inf,"2024-02-28 01:15:54.000000"
MQ7,inf,"2024-02-28 01:15:54.000000"
MQ8,inf,"2024-02-28 01:15:54.000000"
TGS2600,1.032998562,"2024-02-28 01:15:55.000000"
TGS2602,0.975771725,"2024-02-28 01:15:56.000000"
TGS2612,0.975771725,"2024-02-28 01:15:57.000000"
MQ9,inf,"2024-02-28 01:15:57.000000"
MQ10,inf,"2024-02-28 01:15:58.000000"
MQ11,inf,"2024-02-28 01:15:58.000000"
TGS2620,0.973319054,"2024-02-28 01:15:59.000000"
TGS2603,0.140845075,"2024-02-28 01:16:00.000000"
TGS2610,0.546006083,"2024-02-28 01:16:00.000000"
TGS2611,0.553846180,"2024-02-28 01:16:01.000000"
MQ12,inf,"2024-02-28 01:16:02.000000"
,inf,"2024-02-28 01:16:04.000000"
MQ5,inf,"2024-02-28 01:16:05.000000"
MQ6,inf,"2024-02-28 01:16:05.000000"
MQ7,inf,"2024-02-28 01:16:06.000000"
MQ8,inf,"2024-02-28 01:16:06.000000"
TGS2600,0.973402500,"2024-02-28 01:16:07.000000"
TGS2602,0.975771725,"2024-02-28 01:16:07.000000"
TGS2612,0.975771725,"2024-02-28 01:16:08.000000"
MQ9,inf,"2024-02-28 01:16:08.000000"
MQ10,inf,"2024-02-28 01:16:09.000000"
MQ11,inf,"2024-02-28 01:16:09.000000"
TGS2620,1.447171807,"2024-02-28 01:16:10.000000"
TGS2603,0.140845075,"2024-02-28 01:16:10.000000"
TGS2610,1.092012167,"2024-02-28 01:16:12.000000"
TGS2611,0.923076928,"2024-02-28 01:16:13.000000"
MQ12,inf,"2024-02-28 01:16:13.000000"
,inf,"2024-02-28 01:16:16.000000"
MQ5,inf,"2024-02-28 01:16:17.000000"
MQ6,inf,"2024-02-28 01:16:19.000000"
MQ7,inf,"2024-02-28 01:16:19.000000"
MQ8,inf,"2024-02-28 01:16:20.000000"
TGS2600,2.363977432,"2024-02-28 01:16:20.000000"
TGS2602,2.363093376,"2024-02-28 01:16:21.000000"
TGS2612,2.363093376,"2024-02-28 01:16:21.000000"
MQ9,inf,"2024-02-28 01:16:22.000000"
MQ10,inf,"2024-02-28 01:16:22.000000"
MQ11,inf,"2024-02-28 01:16:23.000000"
TGS2620,1.812166452,"2024-02-28 01:16:23.000000"
TGS2603,0.610328674,"2024-02-28 01:16:24.000000"
TGS2610,0.000000000,"2024-02-28 01:16:24.000000"
TGS2611,0.738461554,"2024-02-28 01:16:25.000000"
MQ12,inf,"2024-02-28 01:16:25.000000"
,inf,"2024-02-28 01:16:28.000000"
MQ5,inf,"2024-02-28 01:16:28.000000"
MQ6,inf,"2024-02-28 01:16:28.000000"
MQ7,inf,"2024-02-28 01:16:29.000000"
MQ8,inf,"2024-02-28 01:16:29.000000"
TGS2600,2.112349749,"2024-02-28 01:16:30.000000"
TGS2602,2.104215145,"2024-02-28 01:16:30.000000"
TGS2612,2.097577333,"2024-02-28 01:16:31.000000"
MQ9,inf,"2024-02-28 01:16:31.000000"
MQ10,inf,"2024-02-28 01:16:32.000000"
MQ11,inf,"2024-02-28 01:16:32.000000"
TGS2620,1.703308344,"2024-02-28 01:16:33.000000"
TGS2603,0.281690150,"2024-02-28 01:16:33.000000"
TGS2610,0.000000000,"2024-02-28 01:16:34.000000"
TGS2611,0.369230777,"2024-02-28 01:16:34.000000"
MQ12,nan,"2024-02-28 01:16:35.000000"
,inf,"2024-02-28 01:16:37.000000"
MQ5,inf,"2024-02-28 01:16:37.000000"
MQ6,inf,"2024-02-28 01:16:38.000000"
MQ7,inf,"2024-02-28 01:16:38.000000"
MQ8,inf,"2024-02-28 01:16:39.000000"
TGS2600,1.867343664,"2024-02-28 01:16:40.000000"
TGS2602,1.865250707,"2024-02-28 01:16:40.000000"
TGS2612,1.858612776,"2024-02-28 01:16:41.000000"
MQ9,inf,"2024-02-28 01:16:42.000000"
MQ10,inf,"2024-02-28 01:16:42.000000"
MQ11,inf,"2024-02-28 01:16:43.000000"
TGS2620,1.517609358,"2024-02-28 01:16:43.000000"
TGS2603,0.046948358,"2024-02-28 01:16:44.000000"
TGS2610,1.092012167,"2024-02-28 01:16:45.000000"
TGS2611,0.369230777,"2024-02-28 01:16:45.000000"
MQ12,inf,"2024-02-28 01:16:45.000000"
,inf,"2024-02-28 01:16:48.000000"
MQ5,inf,"2024-02-28 01:16:48.000000"
MQ6,inf,"2024-02-28 01:16:48.000000"
MQ7,inf,"2024-02-28 01:16:49.000000"
MQ8,inf,"2024-02-28 01:16:49.000000"
TGS2600,1.642202854,"2024-02-28 01:16:50.000000"
TGS2602,1.639562011,"2024-02-28 01:16:50.000000"
TGS2612,1.699303031,"2024-02-28 01:16:51.000000"
MQ9,inf,"2024-02-28 01:16:52.000000"
MQ10,inf,"2024-02-28 01:16:52.000000"
MQ11,inf,"2024-02-28 01:16:54.000000"
TGS2620,1.395944476,"2024-02-28 01:16:54.000000"
TGS2603,0.140845075,"2024-02-28 01:16:55.000000"
TGS2610,0.546006083,"2024-02-28 01:16:55.000000"
TGS2611,0.553846180,"2024-02-28 01:16:56.000000"
MQ12,inf,"2024-02-28 01:16:56.000000"
,inf,"2024-02-28 01:16:59.000000"
MQ5,inf,"2024-02-28 01:16:59.000000"
MQ6,inf,"2024-02-28 01:17:00.000000"
MQ7,inf,"2024-02-28 01:17:00.000000"
MQ8,inf,"2024-02-28 01:17:01.000000"
TGS2600,1.516389012,"2024-02-28 01:17:02.000000"
TGS2602,1.447062731,"2024-02-28 01:17:02.000000"
TGS2612,1.433786988,"2024-02-28 01:17:03.000000"
MQ9,inf,"2024-02-28 01:17:04.000000"
MQ10,inf,"2024-02-28 01:17:04.000000"
MQ11,inf,"2024-02-28 01:17:05.000000"
TGS2620,1.274279594,"2024-02-28 01:17:05.000000"
